exp,exp_plot,lambda,transient
go-quorum_ibft_4,"go-quorum
ibft",1.0,"[-0.          0.          4.93226313  6.91563536  7.872151    8.62351423
  9.21169722  9.60327615  9.93544777 10.20439775 10.47951925 10.68538114
 11.15963289 11.5221095  11.75304135 11.95756807 12.11427368 12.2547901
 12.37102898 12.481329   12.54935384 12.64889597 12.77497529 12.83165367
 12.82735161 12.8941309  12.9235032  13.00970271 13.01577407 13.05103974
 13.12985806 13.1449774  13.20345784 13.25484836 13.29270608 13.30770725
 13.33559117 13.32412588 13.37740503 13.33735355 13.31291322 13.37610498
 13.36000378 13.30956359 13.29440717 13.30444926 13.30287754 13.31186536
 13.32567803 13.37309615 13.40420472 13.38954308 13.39664482 13.40016796
 13.43105702 13.42757195 13.43702503 13.41266747 13.35950605 13.34065703
 13.32005745 13.30366474 13.2877785  13.30935316 13.31658469 13.29376342
 13.27411241 13.32466413 13.35038492 13.34687207 13.36628661 13.36761341
 13.39688949 13.38050052 13.37205181 13.41241879 13.43344224 13.41939681
 13.416006   13.4336255  13.4272758  13.40257803 13.4167581  13.45253497
 13.45236793 13.44547588 13.47800139 13.45238159 13.44886828 13.47000638
 13.46528824 13.48246647 13.46034938 13.43818844 13.48593446 13.49827404
 13.43682659 13.47372983 13.48737276 13.44689077 13.46025527 13.4574468
 13.45669486 13.48125826 13.44404415 13.42394979 13.42347164 13.4271318
 13.39592639 13.45154928 13.43569365 13.432155   13.43930978 13.38937865
 13.39268469 13.38950426 13.40593862 13.37188162 13.39784778 13.34535127
 13.3482537  13.38479403 13.39635907 13.41755579 13.4142205  13.42277742
 13.47475633 13.46998306 13.45558538 13.48729644 13.51202837 13.54985274
 13.52790331 13.56459911 13.59448107 13.56752826 13.52816289 13.57925836
 13.59584306 13.56678141 13.56672406 13.52895191 13.54461956 13.52423113
 13.5289899  13.56052736 13.5652419  13.55021201 13.54719714 13.57115495
 13.55607807 13.55422518 13.53966767 13.52865036 14.9712578  14.73519507
 15.090639   14.62376807 14.86869187 14.7217482  14.87701887 14.705129
 14.66928153 14.9810688  14.81635587]"
go-quorum_ibft_4,"go-quorum
ibft",2.0,"[-0.          0.          4.72921556  6.78160398  7.99238046  8.82925846
  9.42146836  9.8564036  10.14923367 10.380967   10.57323135 10.76530242
 11.29587363 11.55756829 11.7839742  12.02005962 12.20736331 12.30178593
 12.41879086 12.52767957 12.63489801 12.7300468  12.80804884 12.91060614
 12.95370673 12.99780848 13.04055767 13.11462061 13.15653724 13.22333225
 13.21528962 13.22705514 13.2710975  13.27812452 13.32633045 13.31545337
 13.33784797 13.35174375 13.35960682 13.37891848 13.42001529 13.45855882
 13.45828096 13.46551858 13.46883724 13.53974649 13.53997987 13.55291126
 13.58482248 13.56839389 13.54352897 13.55434657 13.56880472 13.61850172
 13.629521   13.61616051 13.61882197 13.60916571 13.59485167 13.60814502
 13.64890811 13.6367927  13.63071062 13.59679387 13.58539521 13.51871697
 13.53122353 13.54639659 13.52752436 13.55311354 13.52198864 13.52427426
 13.48771168 13.48917631 13.48856268 13.54525489 13.53804374 13.55113002
 13.56961038 13.55337907 13.57785859 13.59492052 13.62226917 13.57565752
 13.53318816 13.51976304 13.50125005 13.4762672  13.47084886 13.45424043
 13.41070493 13.37109859 13.35380328 13.36943348 13.36767847 13.36549943
 13.35334355 13.35408493 13.34858355 13.34288785 13.36959196 13.40771935
 13.40757997 13.41839052 13.48001024 13.47945993 13.5222122  13.50888094
 13.52544582 13.55405372 13.54657798 13.54487651 13.59687532 13.5954219
 13.56294535 13.55047353 13.53260967 13.55421295 13.55627488 13.5563719
 13.54007005 13.53283224 13.52237624 13.54859508 13.53766978 13.54045213
 13.52249036 13.52867246 13.49279276 13.46961454 13.51241989 13.50639004
 13.49632621 13.47736568 13.50536091 13.51793669 13.53026247 13.5381047
 13.56610164 13.59321797 13.5776921  13.57232654 13.56509942 13.57979368
 13.58838151 13.55750729 13.52302424 13.50461286 13.48955761 13.48239906
 13.46459732 13.46854142 13.45543332 13.38923255 13.32517304 13.34508393
 13.37430891 13.36465048 13.37188801 13.35188886 13.35798936 13.32369369
 13.31857898 13.32640118 13.34453472 13.32725421 13.345491   13.33188214
 13.30969063 13.29283436 13.3251591  13.35859239 13.36816075 13.39442366
 13.42611712 13.43098293 13.39291339 13.42493162 13.43931932 13.43225885
 13.41216517 13.41201698 13.44193319 13.44699465 13.47638029 13.48723107
 13.51453215 13.52447289 13.55949281 13.62212435 13.61140462 13.60216762
 13.59563914 13.59053349 13.58703994 13.59065883 13.55646657 13.54971255
 13.54705652 13.52597859 13.53564755 13.54819691 13.52662046 13.52012566
 13.46760001 13.46550322 13.5030454  13.50906111 13.5027351  13.46575778
 13.50368471 13.49432182 13.49631261 13.52021439 13.54314584 13.58026084
 13.58163798 13.57700051 13.58450909 13.58672704 13.56338048 13.55645932
 13.57190778 13.56075698 13.57454451 13.54683926 13.53547514 13.53180646
 13.49850179 13.54110655 13.54860059 13.55720747 13.52884482 13.56498515
 13.56213839 13.54537844 13.54212738 13.54878062 13.58411392 13.60053318
 13.57146156 13.57684351 13.61734142 13.5962782  13.62430371 13.63688465
 13.65528441 13.64826957 13.64427312 13.62757667 13.64695833 13.65305038
 13.6524892  13.65546237 13.58405666 13.57389697 13.56578191 13.55280188
 13.54077312 13.50049708 13.49116394 13.48229012 13.4609518  13.41722171
 13.46315667 14.7608982  14.68475247 14.84198007 14.4073122  15.0468824
 14.835842   14.88192187 14.25092553 15.23933073 15.07936707 14.70469693]"
go-quorum_qbft_4,"go-quorum
qbft",0.5,"[-0.          0.          5.03079018  7.00536694  8.20701145  8.97543191
  9.55372558  9.99771061 10.33063751 10.54214176 10.76136211 10.97131866
 11.48268411 11.76075676 11.99355439 12.13352799 12.30681662 12.45586375
 12.59161233 12.69831321 12.78202971 12.88621917 13.01590478 13.10398957
 13.15338868 13.26513615 13.33756095 13.3877345  13.40758105 13.48726647
 13.5585752  13.60841619 13.625356   13.63150258 13.65890266 13.67621306
 13.6966783  13.71323502 13.71410354 13.69026062 13.70723706 13.67032174
 13.65962305 13.69346322 13.72809766 13.69828049 13.67220548 13.61232758
 13.60823482 13.60888916 13.6008747  13.62226134 13.62034482 13.5950755
 13.56536437 13.59471771 13.61727118 13.68250975 13.71355796 13.7276057
 13.72651826 13.71566938 13.73871955 13.73114241 15.6510436  15.5283628
 15.36872607 15.35408967 15.1433602  15.36956773 14.68537667 15.06043
 14.78333233 14.31064953 15.26558433]"
go-quorum_qbft_4,"go-quorum
qbft",1.0,"[-0.          0.          4.92100076  6.73844518  7.888539    8.59579498
  9.22278229  9.57306237  9.94535988 10.22713047 10.4107482  10.66390523
 11.20889096 11.53214697 11.76639903 11.92614937 12.10629937 12.23564193
 12.39151758 12.53042903 12.62555316 12.78881809 12.86107096 12.94707762
 13.02129734 13.12440575 13.15178431 13.2079206  13.25092666 13.26748931
 13.29320963 13.25905629 13.2542928  13.27831956 13.27797064 13.27369183
 13.29445549 13.27984155 13.28010691 13.31106267 13.30208363 13.29423114
 13.33181813 13.30637737 13.32211826 13.31271199 13.32502225 13.35640279
 13.35203901 13.31622222 13.36066643 13.38183289 13.39140408 13.39234216
 13.38687947 13.38533403 13.39139693 13.40417062 13.42921914 13.46423773
 13.4114837  13.43698518 13.44010692 13.44715048 13.43234569 13.42702872
 13.42686184 13.42779552 13.42249236 13.37925418 13.41532182 13.38012189
 13.35916844 13.35587676 13.36509581 13.38337303 13.36320812 13.33320436
 13.29450751 13.29581286 13.25987064 13.27113318 13.28236238 13.28555417
 13.30586461 13.2962641  13.31963146 13.3225591  13.32166588 13.34034323
 13.37802695 13.36367719 13.3660648  13.37369225 13.35577466 13.36385409
 13.37135143 13.39867448 13.43341261 13.43210413 13.42328435 13.44714239
 13.45750921 13.43990858 13.42646839 13.43326882 13.40600537 13.37985964
 13.3589906  13.33554417 13.30890461 13.27411171 13.253234   13.26000551
 13.28669747 13.23573194 13.22596508 13.2202031  13.23569095 13.22809917
 13.26517408 13.27934658 13.26870465 13.24360997 13.20034893 13.22479298
 13.24545931 13.24311873 13.22738751 13.24611695 13.22520596 13.22071595
 13.22280714 13.23437892 13.27361798 13.29122747 13.27320637 13.27334513
 13.28606717 13.3019342  13.28861737 13.29273655 13.27875936 13.3119699
 13.31588521 13.32502865 13.33823789 13.37682512 13.38274466 13.40596764
 13.44261306 13.48563956 13.50560505 13.51243448 13.54084408 14.70276467
 15.2746026  14.7045822  15.18397387 15.0478006  15.45303767 14.5237946
 14.93347027 15.2700934  15.0357536  14.63340607]"
go-quorum_qbft_4,"go-quorum
qbft",2.0,"[-0.          0.          4.67165089  6.75466568  7.88508393  8.65787748
  9.26284607  9.77064332 10.1788253  10.37688514 10.56167804 10.79263915
 11.24321111 11.58236138 11.74675627 11.88939414 12.06825154 12.24521684
 12.35483062 12.43243892 12.48806128 12.55540502 12.6679113  12.70697406
 12.80045362 12.89068308 12.93148885 12.94585327 12.99618945 13.04957998
 13.10415326 13.16025804 13.17033119 13.20865237 13.19426592 13.20601712
 13.257841   13.31682611 13.33369244 13.36313432 13.39717289 13.39728661
 13.40254653 13.41248653 13.47655211 13.47088211 13.45393443 13.45146427
 13.47353919 13.46467536 13.4480375  13.43277409 13.42231495 13.41826315
 13.39087902 13.40341679 13.39007313 13.42206288 13.42993395 13.47365731
 13.51479609 13.55311225 13.56243946 13.58125391 13.6053335  13.63262956
 13.67228203 13.6252245  13.62453126 13.5610247  13.58800663 13.56528715
 13.60182355 13.60136343 13.57287279 13.55594285 13.52504433 13.53943397
 13.5122266  13.56514327 13.53669428 13.52601937 13.52531855 13.52319747
 13.51624983 13.53014608 13.53220028 13.50525634 13.4993109  13.44126425
 13.39920901 13.41606126 13.4382739  13.4322166  13.46099867 13.44050187
 13.46117446 13.45466466 13.48928585 13.51659906 13.59351956 13.60931963
 13.572931   13.55464672 13.56561591 13.56243523 13.54045043 13.54479408
 13.55775439 13.57219796 13.5224479  13.52880977 13.52240928 13.52384638
 13.50614026 13.52460577 13.52191503 13.55190646 13.5375895  13.51410787
 13.50472676 13.45928848 13.48493028 13.52397495 13.52524302 13.53209043
 13.51859857 13.496256   13.4784398  13.49254606 13.51701167 13.54686152
 13.49627955 13.45270308 13.45789251 13.41746763 13.4298861  13.41625738
 13.44117141 13.40912412 13.38397132 13.36564985 13.36643272 13.3456503
 13.3046765  13.26250877 13.24918054 13.23653738 13.19659068 13.2150789
 13.21683133 13.2036527  13.22255038 13.23931639 13.23524418 13.28997987
 13.29297492 13.31813352 13.29748795 13.30833095 13.32536258 13.31881952
 13.32693211 13.3598685  13.40042886 13.39757135 13.39237346 13.37965548
 13.41072895 13.38842025 13.33393295 13.36500137 13.37678077 13.3681171
 13.34758647 13.36632652 13.37488774 13.37389056 13.37791551 13.43027085
 13.42637449 13.39652059 13.39891759 13.41051277 13.4438255  13.45263584
 13.44697224 13.47599183 13.4609405  13.47660792 13.53981412 13.55267134
 13.53083635 13.49456012 13.4491292  13.42323996 13.45346568 13.44752334
 13.45259046 13.38580719 13.36605544 13.39868782 13.39708751 13.41271451
 13.43941504 13.45364171 13.42558738 13.46976769 13.4758747  13.49080809
 13.48424527 13.47903355 13.4741867  13.48094212 13.4908814  13.48407152
 13.50029495 13.46054091 13.48280496 13.48835642 13.51198904 13.48670786
 13.48572562 13.50763152 13.47934609 13.477997   13.47269053 13.47161399
 13.43185983 13.41537925 13.37057005 13.36309801 13.38118091 13.34914301
 13.37455743 13.37885188 13.37971552 13.36629248 13.37479215 13.39434255
 13.39174021 13.40028184 14.69187233 15.07833707 14.98925107 14.90059087
 14.62470313 14.54073827 14.9928936  14.24665847 14.7003164  15.1154504
 15.40225627]"
go-quorum_raft_4,"go-quorum
raft",0.5,"[-0.          0.          0.2918418   0.38324163  0.45881126  0.49593454
  0.51287618  0.53510393  0.56146838  0.57628431  0.59883522  0.60774435
  0.63455591  0.6511961   0.663297    0.67227267  0.68177572  0.69199163
  0.69684247  0.70034308  0.70510655  0.713504    0.71645836  0.71559073
  0.71469665  0.71521498  0.71630615  0.71735788  0.72031926  0.72330868
  0.72481518  0.72450462  0.72696297  0.73426991  0.73493219  0.73722288
  0.74115809  0.74303098  0.74281441  0.7411954   0.74315893  0.7421106
  0.74173579  0.7422903   0.74278113  0.73821045  0.73440182  0.73365202
  0.73405605  0.73558654  0.73395706  0.73448449  0.7353295   0.73511609
  0.73465167  0.73696911  0.73970977  0.73930404  0.73851153  0.73629425
  0.73834739  0.73855115  0.73991937  0.76722313  0.7987328   0.84986373
  0.8353616   0.798813    0.78616307  0.83901667  0.8258624   0.81905667
  0.850369    0.84171893]"
go-quorum_raft_4,"go-quorum
raft",1.0,"[-0.          0.          0.30732622  0.40822688  0.46915086  0.50265377
  0.54581852  0.57929041  0.60695906  0.62514183  0.63621693  0.64417416
  0.67648486  0.69236016  0.70174842  0.71192127  0.72112059  0.73134098
  0.74125947  0.75010072  0.75506929  0.75828522  0.76172449  0.76464716
  0.7713247   0.77363789  0.77755869  0.78049328  0.78223459  0.78287767
  0.78503896  0.7907543   0.79293278  0.79230572  0.79279406  0.79472323
  0.79387646  0.79703975  0.79738559  0.79722496  0.79964624  0.79702648
  0.79525753  0.79706729  0.79562664  0.79200028  0.79260636  0.78892076
  0.7868619   0.78822945  0.78918651  0.79558477  0.80062904  0.80309657
  0.79952562  0.80021925  0.80040285  0.80236141  0.80524434  0.80589734
  0.80728093  0.8087144   0.81097493  0.81128479  0.82127512  0.82606269
  0.82996886  0.83889108  0.8493062   0.85848597  0.86706772  0.87158293
  0.8762044   0.88086618  0.87902889  0.88556375  0.88729621  0.88447904
  0.87981084  0.87548354  0.86777693  0.86324754  0.85882825  0.85674578
  0.85719962  0.85301443  0.85019234  0.84467676  0.84031122  0.83794917
  0.8401455   0.83522846  0.83707077  0.84182411  0.84518407  0.84723733
  0.84901667  0.85617041  0.86189981  0.86696338  0.86965991  0.87710795
  0.87325291  0.86643614  0.86272317  0.8585989   0.85644115  0.8506358
  0.84680925  0.84159685  0.83883125  0.8334341   0.83152203  0.82940925
  0.82481815  0.82558989  0.82116826  0.82023689  0.81347584  0.81093509
  0.80682057  0.8069903   0.80712515  0.80361353  0.80276534  0.80155155
  0.80253396  0.80184722  0.80538256  0.80719317  0.80980209  0.81144585
  0.81388323  0.81623257  0.81752115  0.82090804  0.82192621  0.82235517
  0.82128863  0.82147784  0.81681268  0.81714938  0.81538284  0.81520759
  0.81870731  0.81602811  0.81613299  0.81553659  0.81368653  0.809605
  0.8116713   0.80889958  0.80985827  0.80822046  0.80546584  0.80725267
  0.80786737  0.81240724  0.81704486  0.81932172  0.81698819  0.81661966
  0.81497846  0.81684279  0.81779483  0.81784136  0.81962648  0.81812145
  0.88300567  0.84954713  0.8909536   0.9036568   0.863382    0.89799913
  0.94332873  0.91920693  0.93411133  0.882174    0.8857598 ]"
go-quorum_raft_4,"go-quorum
raft",2.0,"[-0.          0.          0.3400028   0.47251949  0.53907351  0.59347627
  0.63832892  0.67930067  0.69639119  0.70745658  0.71536467  0.72571388
  0.75930682  0.77816023  0.79722968  0.81497034  0.83274757  0.84762931
  0.85324891  0.86835644  0.87743104  0.88821034  0.89986105  0.90976355
  0.9173831   0.92862073  0.93346832  0.93937217  0.95121325  0.95705412
  0.96472251  0.97134903  0.97932498  0.98547522  0.9906659   0.99246973
  0.99489512  0.99991289  1.00104054  1.00429386  1.00743745  1.01028608
  1.01372926  1.01403064  1.01435658  1.01348604  1.01829543  1.01524509
  1.01261903  1.01074565  1.00839592  1.00072166  0.98904707  0.98484579
  0.98191247  0.98027932  0.9772802   0.97900623  0.98021098  0.98102466
  0.9805377   0.98898698  0.99650019  0.99791921  0.9999247   1.00454326
  1.00853004  1.00583805  1.00813044  1.00800811  1.00681617  1.00163594
  0.9946051   0.99317983  0.98867686  0.9803849   0.96968997  0.96647648
  0.96301529  0.96276991  0.96718302  0.9686564   0.96603405  0.95911593
  0.95810041  0.96048011  0.96249814  0.96428809  0.96230611  0.95746768
  0.95147566  0.95220481  0.95687362  0.9604988   0.95880629  0.95461308
  0.95326137  0.94981555  0.95175676  0.95313938  0.95637317  0.95160168
  0.95049777  0.94866282  0.95284988  0.9551519   0.95825634  0.96465533
  0.96384036  0.97091607  0.9765647   0.9818212   0.98555231  0.99140385
  0.99511808  0.99789786  0.99935958  0.99341116  0.99300854  0.98581677
  0.97743079  0.97632359  0.97667614  0.97168441  0.97059039  0.9650295
  0.96079492  0.9621087   0.96144963  0.96145167  0.960167    0.96106132
  0.96098152  0.96872899  0.97098961  0.97726043  0.98085379  0.9812275
  0.98616745  0.996528    1.00790046  1.01512918  1.01887002  1.02419771
  1.02969395  1.03796797  1.04194235  1.05459361  1.05527736  1.05702899
  1.0579257   1.05498225  1.05638902  1.05027906  1.04399067  1.04232917
  1.04015378  1.03335294  1.03414738  1.03041471  1.02770123  1.02695983
  1.02505374  1.03139574  1.03409147  1.03453975  1.03814232  1.03669858
  1.03762517  1.04217411  1.03496461  1.03432509  1.02611573  1.01628838
  1.00933376  1.00272661  1.00161223  1.00741881  1.00704254  1.00380539
  1.0073516   1.00765259  1.01228155  1.01316066  1.01411167  1.00637364
  1.00045811  0.9884605   0.9846387   0.97974266  0.97784525  0.96961404
  0.96598148  0.96100489  0.95805126  0.9613191   0.95753028  0.95851397
  0.95562247  0.95139845  0.95066861  0.95525788  0.95212006  0.95372437
  0.95375293  0.95144363  0.95113464  0.95088227  0.95194497  0.9563495
  0.95585378  0.95312398  0.95439393  0.95496505  0.95276984  0.955299
  0.9530044   0.94916922  0.94206651  0.93928801  0.93434262  0.93813117
  0.94057157  0.94508154  0.95085431  0.9545576   0.96084285  0.96852168
  0.97790602  0.98263457  0.9908385   0.99057034  0.99356975  0.99397758
  0.99287832  0.99035375  0.98650603  0.98496701  0.97986639  0.97526874
  0.96863887  0.96491421  0.95849929  0.9492292   0.94708379  0.94678702
  0.94860432  0.94883091  0.95346981  0.95797036  0.96350667  0.96468158
  0.97026432  0.97295137  0.9719495   0.97143143  0.97040584  0.96801944
  0.96242132  0.95707001  0.95160028  0.94586852  0.93479023  0.93514168
  0.93469207  0.93297477  0.93821194  0.94330832  0.9487179   0.94882645
  0.95374706  0.95985069  0.97319359  0.9806668   0.99123365  1.00432954
  1.01072121  1.01783538  1.02404798  1.0390405   1.05286406  1.06606961
  1.07004071  1.069147    1.06771324  1.06318749  1.06421362  1.05917379
  1.06056266  1.05705459  1.04843846  1.04814074  1.05214333  1.05818665
  1.06399307  1.06608076  1.06613303  1.06987069  1.06604094  1.06390823
  1.0655556   1.06478188  1.06284206  1.06610437  1.0639303   1.06569026
  1.06499425  1.06452658  1.06683268  1.06718244  1.06349814  1.05809038
  1.05387444  1.04952593  1.05047572  1.04424595  1.03330823  1.02667327
  1.01138938  0.99735474  0.98903037  0.97968398  0.96971812  0.95908801
  0.94634328  0.93801916  0.93773525  0.93829138  0.94595786  0.95486456
  0.96588718  0.97049521  0.97580021  0.98416775  0.98885249  0.99596355
  1.00924095  1.01208775  1.01893608  1.02157381  1.01769041  1.0247703
  1.03143987  1.03584372  1.04074901  1.04572991  1.03876376  1.03941691
  1.03574221  1.03299474  1.02896071  1.02038153  1.01675339  1.00658881
  0.99928973  0.99460111  0.99742414  0.99662322  1.07258453  0.987476
  1.03171913  1.11689293  1.02683733  1.04184147  1.08737413  1.17757467
  1.14340467  1.20020193  1.13329987]"
polygon_ibft_4,"polygon
ibft",0.5,"[-0.          0.          0.88631062  1.26408068  1.4674139   1.5789495
  1.67582437  1.7566035   1.82395638  1.86524781  1.90925694  1.93487842
  2.0335658   2.08674513  2.12386295  2.15130112  2.18432841  2.20827728
  2.2381644   2.26137248  2.28483389  2.30978672  2.32541521  2.33641368
  2.3552744   2.36432676  2.37252244  2.3828273   2.38518277  2.3860074
  2.39532307  2.39870594  2.40335429  2.40755822  2.41030757  2.40841941
  2.41279494  2.41476613  2.4118604   2.41157     2.40942633  2.40938608
  2.40551496  2.40625256  2.40574082  2.41124897  2.40740255  2.40983948
  2.41814734  2.42203975  2.41886449  2.42276001  2.42986655  2.42966417
  2.4280858   2.43517667  2.43191949  2.43137462  2.42816125  2.42725209
  2.41447818  2.41215418  2.40303106  2.40663514  2.41447505  2.41224968
  2.41179186  2.40818493  2.40385182  2.40902269  2.42022357  2.42126879
  2.43099281  2.80775427  2.73729847  2.5921726   2.6434588   2.574725
  2.75350427  2.6701384   2.65414513  2.7558272   2.67012253  2.80360787]"
polygon_ibft_4,"polygon
ibft",1.0,"[-0.          0.          0.85981104  1.24248434  1.4292196   1.5814385
  1.66892848  1.76785387  1.83235714  1.86690357  1.91802799  1.95792212
  2.0461419   2.09971993  2.13538055  2.17528392  2.19987557  2.22743328
  2.24991579  2.26713748  2.27317989  2.30039151  2.31822663  2.33392365
  2.34672986  2.35216338  2.36464952  2.37806795  2.37976139  2.38262642
  2.39340593  2.39027656  2.39803396  2.40037628  2.40652959  2.40667614
  2.40536786  2.4026656   2.39949453  2.41129384  2.41143752  2.41567565
  2.41495563  2.41816246  2.42077894  2.42299001  2.42489259  2.42828766
  2.44915048  2.4451307   2.45084335  2.4569666   2.45749109  2.46113033
  2.46370348  2.4669403   2.46851929  2.47123438  2.46701218  2.47546221
  2.47173537  2.46815061  2.46345144  2.46120563  2.46139876  2.4602924
  2.45910541  2.4599268   2.45893392  2.44575905  2.44854699  2.44967108
  2.45704741  2.45222485  2.45428325  2.44882496  2.44895235  2.44782807
  2.44457602  2.45413324  2.45017552  2.44458992  2.4353471   2.43906585
  2.4305473   2.43142717  2.42763174  2.41728223  2.41133399  2.40924127
  2.40582583  2.4079406   2.41648024  2.4125108   2.42164044  2.42753769
  2.43595503  2.44994875  2.45629792  2.44991049  2.44985876  2.4558128
  2.44558481  2.45233339  2.44693588  2.44125559  2.43617598  2.43019699
  2.43399234  2.43378031  2.4376765   2.43675388  2.45053866  2.43995339
  2.44226526  2.44898676  2.45390387  2.4587348   2.45749777  2.46402877
  2.46079285  2.4573236   2.44552579  2.45351454  2.4492673   2.44876919
  2.45179714  2.44633299  2.44825637  2.44695102  2.45054983  2.44933248
  2.4512779   2.44949594  2.44903922  2.44339985  2.44006714  2.44632989
  2.43232988  2.43543095  2.43299793  2.43261904  2.4431848   2.44515282
  2.445221    2.75124087  2.77184967  2.48137073  2.80124207  2.64791487
  2.64152493  2.89379727  2.70578913  2.62028207  2.8263662   2.66516453]"
polygon_ibft_4,"polygon
ibft",2.0,"[-0.          0.          0.84712031  1.19501022  1.40805007  1.54989581
  1.67622932  1.74933247  1.8149201   1.87768374  1.91741629  1.94466017
  2.03651008  2.10224514  2.14596933  2.18376079  2.22248578  2.24530293
  2.26528993  2.28309112  2.3106151   2.32769479  2.35393882  2.36191186
  2.38300303  2.39084245  2.39604235  2.40708149  2.42043359  2.4239139
  2.43130409  2.43716897  2.43012495  2.44630467  2.43573662  2.43490928
  2.43522607  2.43485101  2.43773364  2.44156031  2.43754237  2.4378717
  2.44067566  2.42985938  2.43616323  2.43710752  2.43518044  2.43219104
  2.43181452  2.43766252  2.44266141  2.44443506  2.44829322  2.44681476
  2.44664836  2.45174887  2.45585289  2.46242528  2.46816289  2.46822001
  2.46914153  2.47646269  2.47823578  2.48586062  2.48037152  2.48602472
  2.49184533  2.49318367  2.48652492  2.48936552  2.48419317  2.48079815
  2.47391415  2.47173759  2.48323408  2.47956576  2.47613176  2.46609661
  2.46904071  2.46725802  2.46815223  2.47276325  2.4781795   2.47244546
  2.47322061  2.46957803  2.47444416  2.4769596   2.47427169  2.47142081
  2.47273199  2.4738189   2.47538654  2.48168356  2.47423271  2.4751657
  2.478783    2.48033644  2.48006336  2.48916435  2.49217341  2.47741059
  2.47422434  2.47339852  2.48124228  2.48191845  2.47318021  2.46924508
  2.47114681  2.46297099  2.46416307  2.46838757  2.4692588   2.47227324
  2.46792199  2.46669227  2.46635398  2.47180252  2.46758595  2.46893204
  2.46810398  2.46893946  2.47206269  2.46750606  2.46427365  2.46470083
  2.4589818   2.45577677  2.45235537  2.44935681  2.44731219  2.44716781
  2.44444077  2.44422313  2.44446896  2.44044016  2.44242886  2.4485399
  2.45401382  2.44804257  2.44026645  2.44396502  2.43949948  2.43728034
  2.43881006  2.44819139  2.45345765  2.4450981   2.45439836  2.46257855
  2.46850638  2.46668593  2.46948764  2.46952193  2.4683614   2.4685299
  2.46844484  2.47246202  2.45784351  2.45612104  2.46182122  2.46121272
  2.46480458  2.46892866  2.46857851  2.46879475  2.466019    2.46616382
  2.46905399  2.46631785  2.46428599  2.46697369  2.46696701  2.46291415
  2.45754236  2.45446205  2.45190075  2.44639415  2.45240453  2.45468093
  2.45296434  2.45795489  2.45896214  2.4605266   2.46527096  2.46016512
  2.46854069  2.47002233  2.46511407  2.46920711  2.46256679  2.45788795
  2.45273746  2.44983209  2.45523399  2.45558216  2.45261803  2.44849735
  2.45043253  2.44646642  2.44813065  2.44595272  2.45010004  2.45839825
  2.45168582  2.45208345  2.44811137  2.44566061  2.44278453  2.44342548
  2.44886378  2.44916878  2.4552756   2.44976287  2.45223457  2.4543105
  2.45757341  2.46553872  2.46030751  2.46235622  2.46109242  2.46019823
  2.45744889  2.45506     2.45525584  2.44857941  2.44670265  2.45692413
  2.46992833  2.46944449  2.46279684  2.45942482  2.45267965  2.45985427
  2.4645432   2.47137279  2.47110174  2.46584944  2.46190854  2.46018596
  2.46768871  2.47365504  2.47386178  2.47222046  2.47123771  2.47222007
  2.47039253  2.46305059  2.46358637  2.46386626  2.46400035  2.46053308
  2.46637955  2.46525921  2.46463337  2.46210703  2.4650549   2.47461134
  2.47483964  2.47192506  2.47155089  2.47948137  2.47510946  2.47510763
  2.46648685  2.46500229  2.46308233  2.46263709  2.46260804  2.47233962
  2.47146967  2.46593437  2.47130389  2.47120056  2.47377433  2.4781037
  2.4896737   2.49048067  2.48603103  2.48512064  2.48491966  2.4885328
  2.48538225  2.48401063  2.48736919  2.48245952  2.47588018  2.47155501
  2.47779244  2.47198081  2.47152523  2.46551103  2.45606689  2.45509796
  2.45051362  2.44816803  2.44349885  2.44084619  2.44428914  2.44155051
  2.43196812  2.43127088  2.43570155  2.43093372  2.42974663  2.43158398
  2.43364496  2.43029116  2.41969126  2.42336815  2.43341703  2.4328347
  2.43218095  2.445761    2.45028932  2.45862978  2.46090079  2.47042991
  2.47442128  2.47752741  2.48233914  2.48687083  2.49568871  2.48994683
  2.4935119   2.48404549  2.47982358  2.47405635  2.47378105  2.46996418
  2.46829793  2.46008599  2.4552442   2.44909011  2.44248538  2.44675293
  2.44635721  2.4491935   2.45075479  2.45357018  2.45403428  2.46820438
  2.46762462  2.47629866  2.72203453  2.67990487  2.78270727  2.7583402
  2.756345    2.79664527  2.88323473  2.65778967  2.79801933  2.73258847
  2.757572  ]"
